,0
384,Kalervo  Jarvelin Jaana Kekalainen Cumulated gainbased evaluation of IR techniques ACM Transactions on Information Systems   r
385,Kapoor S and H Ramesh “Algorithms for Enumerating All Spanning Trees of Undirected and Weighted Graphs SIAM J Computing vol  pp  r
386,Kann V On the Approximability of the Maximum Common Subgraph Problem In STACS  Alain Finkel and Matthias Jantzen Eds SpringerVerlag London UK UK  r
387,Karp Richard M  Reducibility among combinatorial problems in Miller R E; Thatcher J W Complexity of Computer Computations New York Plenum pp  r
388,Kim JungJae Piotr Pezik and Dietrich RebholzSchuhmann MedEvi Retrieving textual evidence of relations between biomedical concepts from Medline Bioinformatics Volume  Issue pp  r
389,Koch  I  Enumerating all connected maximal common  subgraphs in two graphs Theoretical Computer Science   r
390,Kohavi Ron A Study of CrossValidation and Bootstrap for Accuracy Estimation and Model Selection International Joint Conference on Artificial Intelligence IJCAI r
391,Lehrer Adrienne  Semantic Fields and Lexical Structure Amsterdam Benjaminsr
392,Lin J and Chris Dyer DataIntensive Text Processing with MapReduce Morgan & Claypool Publishers r
393,Lin J DataIntensive Text Processing with MapReduce intoolgithubioMapReduceAlgorithmsMapReducebookfinalpdf  r
394,Le HT and Abeysinghe G  ‘A Study to Improve the Efficiency of a Discourse Parsing System’ in A Gelbukh ed Proceedings of h International Conference on Intelligent Text Processing and Computational Linguistics Vol  pp  BerlinSpringerr
395,Lehmann Christian  Directions for interlinear morphemic translations Folia Linguistica r
396,Mann William C Christian M I M Matthiessen and Sandra A Thompson  Rhetorical Structure Theory and Text Analysis Discourse Description Diverse linguistic analyses of a fundraising text ed by W C Mann and S A Thompson Amsterdam John Benjamins r
397,Manning C and Hinrich Schütze Foundations of Statistical Natural Language Processing MIT Press Cambridge MA May r
398,Marcu  Rhetorical Parsing of Unrestricted Texts Computational Linguistics V Nr
399,Marcu D  ‘From Discourse Structures to Text Summaries’ in I Mani and MMaybury eds Proceedings of ACL Workshop on Intelligent Scalable Text Summarization pp  Madrid Spainr
400,Mill JS  A system of logic ratiocinative and inductive Londonr
401,Montaner M; Lopez B; de la Rosa J L June  A Taxonomy of Recommender Agents on the Internet Artificial Intelligence Review  r
402,Moon J W and Moser L  On cliques in graphs Israel J Math  r
403,MoschittiA Efficient Convolution Kernels for Dependency and Constituent Syntactic Trees In Proceedings of the h European Conference on Machine Learning Berlin Germany r
404,Mandow L JL Pérez de la Cruz A heuristic search algorithm with lexicographic goals Engineering Applications of Artificial Intelligence Volume  Issue  December  pp  httpdxdoiorgSXr
405,Palmer Martha Semlink Linking PropBank VerbNet and FrameNet Proceedings of the Generative Lexicon Conference Sept  Pisa Italy GenLex r
406,Plotkin GD A note on inductive generalization In B Meltzer and D Michie editors Machine Intelligence volume  pages  Elsevier NorthHolland New York r
407,Polovina S and John Heaton An Introduction to Conceptual Graphs AI Expert pp   r
408,Punyakanok V Roth D & Yih W  Mapping dependencies trees an application to question answering In Proceedings of AI & Math Florida USAr
409,Punyakanok VRoth D and Yih W The Necessity of Syntactic Parsing for Semantic Role Labeling IJCAIr
410,Robinson JA A machineoriented logic based on the resolution principle Journal of the Association for Computing Machinery  r
411,Richter Michael M The search for knowledge contexts and CaseBased Reasoning Engineering Applications of Artificial Intelligence Volume  Issue  February  Pages  httpdxdoiorgjengappair
412,Kuznetsov SO and MV Samokhin Learning Closed Sets of Labeled Graphs for Chemical Applications In Proc h Conference on Inductive Logic Programming ILP  Lecture Notes in Artificial Intelligence Springer Vol pp r
413,Schilder F  ‘Robust Discourse Parsing via Discourse Markers Topicality and Position’ Natural Language Engineering  r
414,Searle John  Speech acts An essay in the philosophy of language Cambridge England Cambridge Universityr
415,Son JeongWoo TaeGil Noh HyunJe Song SeongBae Park An application for plagiarized source code detection based on a parse tree kernel Engineering Applications of Artificial Intelligence Volume  Issue  September  pp  httpdxdoiorgjengappair
416,Sowa JF Eileen C Way Implementing a Semantic Interpreter Using Conceptual Graphs IBM Journal of Research and Development    r
417,Sowa JF Information Processing in Mind and Machine Reading MA AddisonWesley Publ r
418,Steinberger J  Poesio M  Kabadjov MA  Ježek K Two uses of anaphora resolution in summarization Information Processing & Management Volume  Issue  November  Pages r
419,Sun J; Zhang M; and Tan C Tree Sequence Kernel for Natural Language AAAI r
420,Sun J; Zhang M; and Tan C Exploring syntactic structural features for subtree alignment using bilingual tree kernels In Proceedings of ACL  r
421,Trias i Mansilla A JL de la Rosa i Esteva Asknext An Agent Protocol for Social Search Information Sciences   r
422,Velásquez Juan D Luis E Dujovne Gaston L’Huillier Extracting significant Website Key Objects A Semantic Web mining approach Engineering Applications of Artificial Intelligence Volume  Issue  December  pp  httpdxdoiorgjengappair
423,Vicient Carlos David Sánchez Antonio Moreno An automatic approach for ontologybased feature extraction from heterogeneous textual resources Engineering Applications of Artificial Intelligence Volume  Issue  March  Pages  httpdxdoiorgjengappair
424,Vismara P and  B Valery  Finding Maximum Common  Connected Subgraphs Using Clique Detection or Constraint Satisfaction Algorithms Modelling Computation and  Optimization in Information Systems  and  Management Sciences pages  r
425,Wu Jiangning  Zhaoguo Xuan and Donghua Pan Enhancing text representation for classification tasks with semantic graph structures International Journal of Innovative Computing Information and Control ICIC Volume  Number Br
426,Xiong Hao and Haitao Mi and Yang Liu and Qun Liu ForestBased Semantic Role Labeling in Proc AAAI r
427,Xing Du and Xie Li Accomodating domainindependence—a new approach to the development of general natural language interfaces Engineering Applications of Artificial Intelligence Volume  Issue  March  Pages  r
428,Yan X Han J gSpan GraphBased Substructure Pattern Mining In Proc IEEE Int Conf on Data Mining ICDM’ IEEE Computer Society  r
429,Yang ShihYao and VonWun Soo Extract conceptual graphs from plain texts in patent claimsEngineering Applications of Artificial Intelligence Volume  Issue  June  Pages  httpdxdoiorgjengappair
430,Zhang M; Che W; Zhou G; Aw A; Tan C; Liu T; and Li S  Semantic role labeling using a grammardriven convolution tree kernel IEEE transactions on audio speech and language processing r
431,Bag of Tricks for Image Classification with Convolutional Neural NetworksTong He Zhi Zhang Hang Zhang Zhongyue Zhang Junyuan Xie Mu LiAmazon Web ServiceshtongzhizhzawszhongyuejunyuanxmliamazoncomAbstractMuch of the recent progress made in image classificationresearch can be credited to training procedure refinementssuch as changes in data augmentations and optimizationmethods In the literature however most refinements are either briefly mentioned as implementation details or only visible in source code In this paper we will examine a collection of such refinements and empirically evaluate their impact on the final model accuracy through ablation study Wewill show that by combining these refinements together weare able to improve various CNN models significantly Forexample we raise ResNetxexx topvalidation accuracyfrom  to  on ImageNet We will also demonstrate that improvement on image classification accuracyleads to better transfer learning performance in other application domains such as object detection and semanticsegmentation IntroductionSince the introduction of AlexNet  in  deepconvolutional neural networks have become the dominating approach for image classification Various new architectures have been proposed since then including VGG NiN  Inception  ResNet  DenseNet  andNASNet  At the same time we have seen a steadytrend of model accuracy improvement For example thetopvalidation accuracy on ImageNet  has been raisedfrom  AlexNet to  NASNetAHowever these advancements did not solely come fromimproved model architecture Training procedure refinements including changes in loss functions data preprocessing and optimization methods also played a major role Alarge number of such refinements has been proposed in thepast years but has received relatively less attention In theliterature most were only briefly mentioned as implementation details while others can only be found in source codeIn this paper we will examine a collection of trainingModel FLOPs toptopesNet  G  ResNeXt  G  SEResNet  G  SEResNeXt  G  DenseNet  G  ResNet tricks ours  G  Table  Computational costs and validation accuracy ofvarious models ResNet trained with our xexxtricksxexx is ableto outperform newer and improved architectures trainedwith standard pipelineprocedure and model architecture refinements that improvemodel accuracy but barely change computational complexity Many of them are minor xexxtricksxexx like modifying thestride size of a particular convolution layer or adjustinglearning rate schedule Collectively however they make abig difference We will evaluate them on multiple networkarchitectures and datasets and report their impact to the finalmodel accuracyOur empirical evaluation shows that several tricks leadto significant accuracy improvement and combining themtogether can further boost the model accuracy We compare ResNet after applying all tricks to other relatednetworks in Table  Note that these tricks raises ResNetxexx topvalidation accuracy from  to  onImageNet It also outperforms other newer and improvednetwork architectures such as SEResNeXt In addition we show that our approach can generalize to other networks Inception V and MobileNet  and datasetsPlace We further show that models trained withour tricks bring better transfer learning performance in otherapplication domains such as object detection and semanticsegmentationPaper Outline We first set up a baseline training procedure in Section  and then discuss several tricks that arerXivv csCV  Dec lgorithm Train a neural network with minibatchstochastic gradient descentinitializenetfor epoch
432,imagesb doimagesxexxuniformly random sample b imagesX y xexxpreprocessimagesz xexxforwardnet X`xexxlossz ygradxexxbackward`updatenet gradend forend foruseful for efficient training on new hardware in Section  InSection we review three minor model architecture tweaksfor ResNet and propose a new one Four additional training procedure refinements are then discussed in Section At last we study if these more accurate models can helptransfer learning in Section Our model implementations and training scripts are publicly available in GluonCV  Training ProceduresThe template of training a neural network with minibatch stochastic gradient descent is shown in Algorithm In each iteration we randomly sample b images to compute the gradients and then update the network parametersIt stops after K passes through the dataset All functionsand hyperparameters in Algorithm can be implementedin many different ways In this section we first specify abaseline implementation of Algorithm  Baseline Training ProcedureWe follow a widely used implementation  of ResNetas our baseline The preprocessing pipelines between training and validation are different During training we perform the following steps onebyone Randomly sample an image and decode it into bitfloating point raw pixel values in
433,Randomly crop a rectangular region whose aspect ratiois randomly sampled in
434,then resize the cropped regioninto a bysquare image Flip horizontally with  probability Scale hue saturation and brightness with coefficientsuniformly drawn from
435,Add PCA noise with a coefficient sampled from a normal distribution N  ttpsgithubcomdmlcgluoncvModelBaseline ReferenceTopTopTopTopesNet
436,Table  Validation accuracy of reference implementations and our baseline Note that the numbers for Inception Vare obtained with byinput images Normalize RGB channels by subtracting
437,respectivelyDuring validation we resize each imagexexx shorter edgeto pixels while keeping its aspect ratio Next we cropout the byregion in the center and normalize RGBchannels similar to training We do not perform any randomaugmentations during validationThe weights of both convolutional and fullyconnectedlayers are initialized with the Xavier algorithm  In particular we set the parameter to random values uniformlydrawn from xexx a where a xexxdin  dout Heredin and dout are the input and output channel sizes respectively All biases are initialized to  For batch normalization layers xcexbvectors are initialized to and xcexbvectors toNesterov Accelerated Gradient NAG descent  isused for training Each model is trained for epochs onNvidia VGPUs with a total batch size of  Thelearning rate is initialized to  and divided by at theh h and h epochs Experiment ResultsWe evaluate three CNNs ResNet InceptionV and MobileNet  For InceptionVwe resize theinput images into  We use the ISLVRCdataset which has  million images for training and lasses The validation accuracies are shown in Table  Ascan be seen our ResNetresults are slightly better thanthe reference results while our baseline InceptionVandMobileNet are slightly lower in accuracy due to differenttraining procedure Efficient TrainingHardware especially GPUs has been rapidly evolvingin recent years As a result the optimal choices for manyperformance related tradeoffs have changed For exampleit is now more efficient to use lower numerical precision andlarger batch sizes during training In this section we reviewvarious techniques that enable low precision and large batchhttpsgithubcomdmlcgluoncvtraining without sacrificing model accuracy Some techniques can even improve both accuracy and training speed Largebatch trainingMinibatch SGD groups multiple samples to a minibatch to increase parallelism and decrease communicationcosts Using large batch size however may slow downthe training progress For convex problems convergencerate decreases as batch size increases Similar empirical results have been reported for neural networks  In otherwords for the same number of epochs training with a largebatch size results in a model with degraded validation accuracy compared to the ones trained with smaller batch sizesMultiple works
438,have proposed heuristics to solvethis issue In the following paragraphs we will examinefour heuristics that help scale the batch size up for singlemachine trainingLinear scaling learning rate In minibatch SGD gradient descending is a random process because the examplesare randomly selected in each batch Increasing the batchsize does not change the expectation of the stochastic gradient but reduces its variance In other words a large batchsize reduces the noise in the gradient so we may increasethe learning rate to make a larger progress along the opposite of the gradient direction Goyal et al  reportsthat linearly increasing the learning rate with the batch sizeworks empirically for ResNettraining In particular ifwe follow He et al  to choose  as the initial learning rate for batch size  then when changing to a largerbatch size b we will increase the initial learning rate toxcxbLearning rate warmup At the beginning of the trainingall parameters are typically random values and therefore faraway from the final solution Using a too large learning ratemay result in numerical instability In the warmup heuristicwe use a small learning rate at the beginning and then switchback to the initial learning rate when the training processis stable  Goyal et al  proposes a gradual warmupstrategy that increases the learning rate from to the initiallearning rate linearly In other words assume we will usethe first m batches eg data epochs to warm up and theinitial learning rate is xcexb then at batch i xexxai xexxam we willset the learning rate to be ixcexbmZero xcexb A ResNet network consists of multiple residualblocks each block consists of several convolutional layers Given input x assume blockx is the output for thelast layer in the block this residual block then outputsx  blockx Note that the last layer of a block couldbe a batch normalization BN layer The BN layer firststandardizes its input denoted by xxccx and then performs ascale transformation xcexbxccx xcexb Both xcexband xcexbare learnableparameters whose elements are initialized to  and  respectively In the zero xcexbinitialization heuristic we initializexcexb for all BN layers that sit at the end of a residual blockTherefore all residual blocks just return their inputs mimics network that has less number of layers and is easier totrain at the initial stageNo bias decay The weight decay is often applied to alllearnable parameters including both weights and bias Itxexxequivalent to applying an Lregularization to all parameters to drive their values towards  As pointed out by Jia etal  however itxexx recommended to only apply the regularization to weights to avoid overfitting The no bias decay heuristic follows this recommendation it only appliesthe weight decay to the weights in convolution and fullyconnected layers Other parameters including the biasesand xcexband xcexbin BN layers are left unregularizedNote that LARS  offers layerwise adaptive learningrate and is reported to be effective for extremely large batchsizes beyond  While in this paper we limit ourselvesto methods that are sufficient for single machine trainingin which case a batch size no more than  often leads togood system efficiency Lowprecision trainingNeural networks are commonly trained with bit floating point FP precision That is all numbers are stored inFPformat and both inputs and outputs of arithmetic operations are FPnumbers as well New hardware howevermay have enhanced arithmetic logic unit for lower precisiondata types For example the previously mentioned NvidiaVoffers TFLOPS in FPbut over TFLOPS inFP As in Table  the overall training speed is accelerated by to times after switching from FPto FPonVDespite the performance benefit a reduced precision hasa narrower range that makes results more likely to be outofrange and then disturb the training progress Micikevicius etal  proposes to store all parameters and activations inFPand use FPto compute gradients At the same timeall parameters have an copy in FPfor parameter updating In addition multiplying a scalar to the loss to betteralign the range of the gradient into FPis also a practicalsolution Experiment ResultsThe evaluation results for ResNetare shown in Table  Compared to the baseline with batch size andFP using a larger batch size and FPreduces thetraining time for ResNetfrom min per epoch to min per epoch In addition by stacking all heuristics forInput stemStage tage tage tage utputInputOutputConv
439,snputMaxPool  sownsamplingResidualResidualConvonv onv onvutputInputInputOutput OutputPath A Path BFigure  The architecture of ResNet The convolutionkernel size output channel size and stride size default is are illustrated similar for pooling layerslargebatch training the model trained with batch sizeand FPeven slightly increased  topaccuracy compared to the baseline modelThe ablation study of all heuristics is shown in Table Increasing batch size from to by linear scalinglearning rate alone leads to a  decrease of the topccuracy while stacking the rest three heuristics bridges thegap Switching from FPto FPat the end of trainingdoes not affect the accuracy Model TweaksA model tweak is a minor adjustment to the network architecture such as changing the stride of a particular convolution layer Such a tweak often barely changes the computational complexity but might have a nonnegligible effecton the model accuracy In this section we will use ResNetas an example to investigate the effects of model tweaks ResNet ArchitectureWe will briefly present the ResNet architecture especially its modules related to the model tweaks For detailedinformation please refer to He et al  A ResNet networkconsists of an input stem four subsequent stages and a finaloutput layer which is illustrated in Figure  The input stemhas a xcx convolution with an output channel of and astride of  followed by a xcx max pooling layer also witha stride of  The input stem reduces the input width andheight by times and increases its channel size to Starting from stage  each stage begins with a downsampling block which is then followed by several residualblocks In the downsampling block there are path A andConvonv sonvConvnputOutputa ResNetBConv InputMaxPool  sOutputConv  sConv b ResNetCConvonv sonv ConvnputOutputAvgPoolc ResNetDFigure  Three ResNet tweaks ResNetB modifies thedownsampling block of Resnet ResNetC further modifiesthe input stem On top of that ResNetD again modifies thedownsampling blockpath B Path A has three convolutions whose kernel sizesare xcx xcxand xcx respectively The first convolutionhas a stride of to halve the input width and height and thelast convolutionxexx output channel is times larger than theprevious two which is called the bottleneck structure PathB uses a xcxconvolution with a stride of to transform theinput shape to be the output shape of path A so we can sumoutputs of both paths to obtain the output of the downsampling block A residual block is similar to a downsamplingblock except for only using convolutions with a stride of One can vary the number of residual blocks in each stageto obtain different ResNet models such as ResNetandResNet where the number presents the number of convolutional layers in the network ResNet TweaksNext we revisit two popular ResNet tweaks we callthem ResNetB and ResNetC respectively We proposea new model tweak ResNetD afterwardsResNetB This tweak first appeared in a Torch implementation of ResNet  and then adopted by multipleworks
440,It changes the downsampling block ofResNet The observation is that the convolution in path Aignores threequarters of the input feature map because ituses a kernel size xcxwith a stride of  ResNetB switchesthe strides size of the first two convolutions in path A asshown in Figure  so no information is ignored Becausethe second convolution has a kernel size xcx the outputshape of path A remains unchangedResNetC This tweak was proposed in Inceptionvoriginally and it can be found on the implementationsModelEfficient BaselineTimeepoch TopTopTimeepoch TopTopesNetmin
441,min  Table  Comparison of the training time and validation accuracy for ResNetbetween the baseline BSwith FPand a more hardware efficient setting BSwith FPHeuristicBSBSopTopTopTopinear scaling
442,FPable  The breakdown effect for each effective trainingheuristic on ResNetof other models such as SENet  PSPNet DeepLabV and ShuffleNetV The observationis that the computational cost of a convolution is quadraticto the kernel width or height A xcx convolution is times more expensive than a xcx convolution So thistweak replacing the xcx convolution in the input stemwith three conservative xcx convolutions which is shownin Figure  with the first and second convolutions havetheir output channel of and a stride of  while the lastconvolution uses a output channelResNetD Inspired by ResNetB we note that the xcxconvolution in the path B of the downsampling block alsoignores  of input feature maps we would like to modifyit so no information will be ignored Empirically we foundadding a xcxaverage pooling layer with a stride of beforethe convolution whose stride is changed to  works wellin practice and impacts the computational cost little Thistweak is illustrated in Figure  Experiment ResultsWe evaluate ResNetwith the three tweaks and settings described in Section  namely the batch size is nd precision is FP The results are shown in Table Suggested by the results ResNetB receives more information in path A of the downsampling blocks and improvesvalidation accuracy by around  compared to ResNet Replacing the xcx convolution with three xcx onesgives another  improvement Taking more informationin path B of the downsampling blocks improves the valiModel params FLOPs TopTopesNet M  G  ResNetB M  G  ResNetC M  G  ResNetD M  G  Table  Compare ResNetwith three model tweaks onmodel size FLOPs and ImageNet validation accuracydation accuracy by another  In total ResNetDimproves ResNetby On the other hand these four models have the samemodel size ResNetD has the largest computational costbut its difference compared to ResNetis within  interms of floating point operations In practice we observedResNetD is only  slower in training throughput compared to ResNet Training RefinementsIn this section we will describe four training refinementsthat aim to further improve the model accuracy Cosine Learning Rate DecayLearning rate adjustment is crucial to the training After the learning rate warmup described in Section  wetypically steadily decrease the value from the initial learning rate The widely used strategy is exponentially decayingthe learning rate He et al  decreases rate at  for every epochs we call it xexxstep decayxexx Szegedy et al decreases rate at  for every two epochsIn contrast to it Loshchilov et al  propose a cosineannealing strategy An simplified version is decreasing thelearning rate from the initial value to by following thecosine function Assume the total number of batches is Tthe warmup stage is ignored then at batch t the learningrate xcexb is computed asxcexb
443,costxcfxxcexb where xcexbis the initial learning rate We call this schedulingas xexxcosinexexx decay
444,EpochLearning Rate Cosine DecayStep Decaya Learning Rate Schedule
445,EpochTopxexxAccuracyCosine DecayStep Decayb Validation AccuracyFigure  Visualization of learning rate schedules withwarmup Top cosine and step schedules for batch size Bottom Topvalidation accuracy curve with regardto the two schedulesThe comparison between step decay and cosine decayare illustrated in Figure  As can be seen the cosine decaydecreases the learning rate slowly at the beginning and thenbecomes almost linear decreasing in the middle and slowsdown again at the end Compared to the step decay thecosine decay starts to decay the learning since the beginningbut remains large until step decay reduces the learning rateby  which potentially improves the training progress Label SmoothingThe last layer of a image classification network is often afullyconnected layer with a hidden size being equal to thenumber of labels denote by K to output the predicted confidence scores Given an image denote by zi the predictedscore for class i These scores can be normalized by thesoftmax operator to obtain predicted probabilities Denoteby q the output of the softmax operator q  softmaxz theprobability for class i qi can be computed byqi expzixexxjexpzj Itxexx easy to see qi > andxexxiqi
446,so q is a validprobability distributionOn the other hand assume the true label of this imageis y we can construct a truth probability distribution to bepi  if i  y and otherwise During training we minimize the negative cross entropy loss`p q  xexxxexxi log pi to update model parameters to make these two probability distributions similar to each other In particular by theway how p is constructed we know `p q  xexxlog py xexxy  logxexxiexpzi The optimal solution is zxexx inf while keeping others small enough In other words itencourages the output scores dramatically distinctive whichpotentially leads to overfittingThe idea of label smoothing was first proposed to trainInceptionv It changes the construction of the trueprobability toqi xexxxcexbif i  yxcexbK xexx otherwisewhere xcexbis a small constant Now the optimal solutionbecomeszxexx logK xexxxexxxcexbxcexb  xcexbif i  yxcexbotherwisewhere xcexbcan be an arbitrary real number This encourages a finite output from the fullyconnected layer and cangeneralize betterWhen xcexb  the gap logK xexxxexxxcexbxcexb will bexexx and as xcexbincreases the gap decreases Specifically whenxcexb K xexxK all optimal zxexx will be identical Figure shows how the gap changes as we move xcexb given K  or ImageNet datasetWe empirically compare the output value from twoResNetD models that are trained with and without label smoothing respectively and calculate the gap betweenthe maximum prediction value and the average of the restUnder xcexb  and K
447,the theoretical gap is around Figure  demonstrate the gap distributions from thetwo models predicting over the validation set of ImageNetIt is clear that with label smoothing the distribution centersat the theoretical value and has fewer extreme values Knowledge DistillationIn knowledge distillation  we use a teacher modelto help train the current model which is called the studentmodel The teacher model is often a pretrained model withhigher accuracy so by imitation the student model is ableto improve its own accuracy while keeping the model complexity the same One example is using a ResNetas theteacher model to help training ResNetDuring training we add a distillation loss to penalizethe difference between the softmax outputs from the teachermodel and the learner model Given an input assume p isthe true probability distribution and z and r are outputs ofthe last fullyconnected layer of the student model and theteacher model respectively Remember previously we use axexx
448,epsGapa Theoretical gap GapDensityyonexexxotsmoothedb Empirical gap from ImageNet validation setFigure  Visualization of the effectiveness of label smoothing on ImageNet Top theoretical gap between zxexx and others decreases when increasing xcexb Bottom The empiricaldistributions of the gap between the maximum predictionand the average of the restnegative cross entropy loss `p softmaxz to measure thedifference between p and z here we use the same loss againfor the distillation Therefore the loss is changed to`p softmaxz  T softmaxrT  softmaxzT where T is the temperature hyperparameter to make thesoftmax outputs smoother thus distill the knowledge of label distribution from teacherxexx prediction Mixup TrainingIn Section  we described how images are augmentedbefore training Here we consider another augmentationmethod called mixup  In mixup each time we randomly sample two examples xi yi and xj  yj Then weform a new example by a weighted linear interpolation ofthese two examplesxxccx xcexbbxi  xexxxcexbbxj  yxccx xcexbbyi  xexxxcexbbyj  where xcexbb xexx  is a random number drawn from theBetaxcexb xcexb distribution In mixup training we only usethe new example xxccx yxccx Experiment ResultsNow we evaluate the four training refinements Weset xcexb  for label smoothing by following Szegedy etal  For the model distillation we use T
449,specifically a pretrained ResNetD model with both cosinedecay and label smoothing applied is used as the teacherIn the mixup training we choose xcexb  in the Beta distribution and increase the number of epochs from tobecause the mixed examples ask for a longer trainingprogress to converge better When combining the mixuptraining with distillation we train the teacher model withmixup as wellWe demonstrate that the refinements are not only limited to ResNet architecture or the ImageNet dataset Firstwe train ResNetD InceptionVand MobileNet on ImageNet dataset with refinements The validation accuracies for applying these training refinements onebyone areshown in Table  By stacking cosine decay label smoothing and mixup we have steadily improving ResNet InceptionVand MobileNet models Distillation works well onResNet however it does not work well on InceptionVnd MobileNet Our interpretation is that the teacher modelis not from the same family of the student therefore hasdifferent distribution in the prediction and brings negativeimpact to the modelTo support our tricks is transferable to other dataset wetrain a ResNetD model on MIT Placesdataset withand without the refinements Results are reported in Table  We see the refinements improve the topaccuracyconsistently on both the validation and test set Transfer LearningTransfer learning is one major downstreaming use caseof trained image classification models In this section wewill investigate if these improvements discussed so far canbenefit transfer learning In particular we pick two important computer vision tasks object detection and semanticsegmentation and evaluate their performance by varyingbase models Object DetectionThe goal of object detection is to locate bounding boxesof objects in an image We evaluate performance usingPASCAL VOC  Similar to Ren et al  we use unionset of VOC trainval and VOC trainval for training and VOC test for evaluation respectively Wetrain FasterRCNN  on this dataset with refinementsfrom Detectron  such as linear warmup and long training schedule The VGGbase model in FasterRCNNis replaced with various pretrained models in the previousdiscussion We keep other settings the same so the gain issolely from the base modelsMean average precision mAP results are reported inTable  We can observe that a base model with a highervalidation accuracy leads to a higher mAP for FasterRNNin a consistent manner In particular the best base modelwith accuracy  on ImageNet leads to the best mAPRefinementsResNetD InceptionVMobileNetTopTopTopTopTopTopfficient
450,Table  The validation accuracies on ImageNet for stacking training refinements one by one The baseline models areobtained from Section Model Val TopAcc Val TopAcc Test TopAcc Test TopAccResNetD Efficient
451,Table  Results on both the validation set and the test set of MIT Places dataset Prediction are generated as statedin Section  ResNetD Efficient refers to ResNetD trained with settings from Section  and ResNetD Bestfurther incorporate cosine scheduling label smoothing and mixupRefinement TopmAPBstandard  Defficient
452,distill w mixup  Table  FasterRCNN performance with various pretrained base networks evaluated on Pascal VOCRefinement TopPixAcc mIoUBstandard
453,Table  FCN performance with various base networks evaluated on ADEat  on VOC which outperforms the standard modelby  Semantic SegmentationSemantic segmentation predicts the category for everypixel from the input images We use Fully ConvolutionalNetwork FCN  for this task and train models on theADE  dataset Following PSPNet  and Zhang etal  we replace the base network with various pretrained models discussed in previous sections and apply dilation network strategy
454,on stageand stage Afully convolutional decoder is built on top of the base network to make the final predictionBoth pixel accuracy pixAcc and mean intersection overunion mIoU are reported in Table  In contradictionto our results on object detection the cosine learning rateschedule effectively improves the accuracy of the FCN performance while other refinements provide suboptimal results A potential explanation to the phenomenon is thatsemantic segmentation predicts in the pixel level Whilemodels trained with label smoothing distillation and mixupfavor soften labels blurred pixellevel information may beblurred and degrade overall pixellevel accuracy ConclusionIn this paper we survey a dozen tricks to train deepconvolutional neural networks to improve model accuracyThese tricks introduce minor modifications to the modelarchitecture data preprocessing loss function and learning rate schedule Our empirical results on ResNetInceptionVand MobileNet indicate that these tricks improve model accuracy consistently More excitingly stacking all of them together leads to a significantly higher accuracy In addition these improved pretrained models showstrong advantages in transfer learning which improve bothobject detection and semantic segmentation We believe thebenefits can extend to broader domains where classificationbase models are favoredReferences L Chen G Papandreou F Schroff and H Adam Rethinking atrous convolution for semantic image segmentation CoRR abs
455,LC Chen G Papandreou I Kokkinos K Murphy andA L Yuille Deeplab Semantic image segmentation withdeep convolutional nets atrous convolution and fully connected crfs IEEE transactions on pattern analysis and machine intelligence xexx
456,M Everingham L Van Gool C K I Williams J Winnand A Zisserman The PASCAL Visual Object ClassesChallenge VOC Results httpwwwpascalnetworkorgchallengesVOCvocworkshopindexhtml B Ginsburg I Gitman and Y You Large batch training ofconvolutional networks with layerwise adaptive rate scaling  R Girshick I Radosavovic G Gkioxari P Dollaxccxand K He Detectron httpsgithubcomfacebookresearchdetectron
457,X Glorot and Y Bengio Understanding the difficulty oftraining deep feedforward neural networks In Proceedingsof the thirteenth international conference on artificial intelligence and statistics pages xexx
458,P Goyal P Dollaxccx R B Girshick P NoordhuisL Wesolowski A Kyrola A Tulloch Y Jia and K HeAccurate large minibatch SGD training imagenet in hourCoRR abs
459,S Gross and M Wilber Training and investigating residualnets httptorchchblogresnetshtml
460,K He X Zhang S Ren and J Sun Deep residual learning for image recognition In Proceedings of the IEEE conference on computer vision and pattern recognition pagesxexx
461,G Hinton O Vinyals and J Dean Distilling the knowledgein a neural network arXiv preprint arXiv  A G Howard M Zhu B Chen D Kalenichenko W WangT Weyand M Andreetto and H Adam Mobilenets Efficient convolutional neural networks for mobile vision applications arXiv preprint arXiv
462,J Hu L Shen and G Sun Squeezeandexcitation networks arXiv preprint arXiv
463,G Huang Z Liu L van der Maaten and K Q Weinberger Densely connected convolutional networks In EEE Conference on Computer Vision and Pattern Recognition CVPR pages xexx IEEE
464,X Jia S Song W He Y Wang H Rong F Zhou L XieZ Guo Y Yang L Yu et al Highly scalable deep learningtraining system with mixedprecision Training imagenet infour minutes arXiv preprint arXiv
465,A Krizhevsky I Sutskever and G E Hinton Imagenetclassification with deep convolutional neural networks InAdvances in neural information processing systems pagesxexx
466,M Lin Q Chen and S Yan Network in network arXivpreprint arXiv
467,J Long E Shelhamer and T Darrell Fully convolutionalnetworks for semantic segmentation In Proceedings of theIEEE conference on computer vision and pattern recognition pages xexx
468,I Loshchilov and F Hutter SGDR stochastic gradient descent with restarts CoRR abs
469,P Micikevicius S Narang J Alben G Diamos E ElsenD Garcia B Ginsburg M Houston O KuchaevG Venkatesh et al Mixed precision training arXiv preprintarXiv
470,Y E Nesterov A method for solving the convex programming problem with convergence rate o kxcbx In DoklAkad Nauk SSSR volume  pages xexx
471,HT Z Ningning Ma Xiangyu Zhang and J Sun Shufflenetv Practical guidelines for efficient cnn architecture designarXiv preprint arXiv
